ref,value,footprint,"origin (col,row)",rotation,"pins (col,row)",note
R12,120R,"axial 1/4 W, 10.16 mm span","(29,37)",0,"1=(29,37) 2=(33,37)",CAN termination
JC1,CAN A,1x3 male header,"(36,32)",0,"CANH=(36,32) CANL=(36,33) GND=(36,34)",bus in
JC2,CAN B,1x3 male header,"(36,36)",0,"CANH=(36,36) CANL=(36,37) GND=(36,38)",bus out (daisy chain)
U11,SimpleFOC Mini,"SimpleFOC Mini v1.1, male pins down","(10,35)",0,"IN1=(10,35) IN2=(11,35) IN3=(12,35) EN=(13,35) GND=(14,35) GND=(15,35) nFT=(10,36) nSP=(11,36) nRT=(12,36) GND=(13,36) 3V3=(14,36) M1=(11,42) M2=(12,42) M3=(13,42)",DRV8313; plug into 1x6 + 1x5 + 1x3 female sockets or solder the pins directly
TP1G,,solder point,"(19,36)",0,"1=(19,36)",hookup wire up to the module's VIN- terminal
TP1V,,solder point,"(19,38)",0,"1=(19,38)",hookup wire up to the module's VIN+ terminal
J21,MOTOR,terminal 3 pos 5.08 mm,"(36,42)",90,"A=(36,42) B=(36,44) C=(36,46)",2804 gimbal motor phases
U14,ACS712-05B,ACS712 module on a 1x3 female socket,"(28,14)",0,"VCC=(28,14) OUT=(29,14) GND=(30,14)",185 mV/A; needs 5 V; output centred at 2.5 V
R34,10k,"axial 1/4 W, 10.16 mm span","(27,12)",0,"1=(27,12) 2=(31,12)",U14 OUT series resistor (divider top)
R35,20k,"axial 1/4 W, 10.16 mm span","(27,11)",0,"1=(27,11) 2=(31,11)",U14 divider bottom: 0-5 V -> 0-3.3 V for the ADC
TP1A,,solder point,"(28,26)",0,"1=(28,26)",hole for the phase lead into IP+
TP1A2,,solder point,"(30,26)",0,"1=(30,26)",hole for the phase lead out of IP-
U15,ACS712-05B,ACS712 module on a 1x3 female socket,"(34,14)",0,"VCC=(34,14) OUT=(35,14) GND=(36,14)",185 mV/A; needs 5 V; output centred at 2.5 V
R36,10k,"axial 1/4 W, 10.16 mm span","(33,12)",0,"1=(33,12) 2=(37,12)",U15 OUT series resistor (divider top)
R37,20k,"axial 1/4 W, 10.16 mm span","(33,11)",0,"1=(33,11) 2=(37,11)",U15 divider bottom: 0-5 V -> 0-3.3 V for the ADC
TP1B,,solder point,"(34,26)",0,"1=(34,26)",hole for the phase lead into IP+
TP1B2,,solder point,"(36,26)",0,"1=(36,26)",hole for the phase lead out of IP-
